name,rows,cols,nnzs,Sputnik(ms),Sputnik(GFLOPS),cuSPARSE(ms),cuSPARSE(GFLOPS),RoDe(ms),RoDe(GFLOPS)
bcsstk18, 11948, 11948, 80519, 0.245965, 167.608250, 1.560678, 26.415262, 0.101888, 404.618087
sinc15, 11532, 11532, 568526, 0.354611, 820.857624, 1.742336, 167.066110, 0.239411, 1215.838267
lowThrust_5, 16262, 16262, 103701, 0.309043, 171.804179, 1.650586, 32.167319, 0.112845, 470.512700
lowThrust_7, 17378, 17378, 110607, 0.267878, 211.404825, 1.665434, 34.003626, 0.112230, 504.593995
conf5_4-8x8-15
