name,rows,cols,nnzs,sparsity,DTC_pre(ms),DTC(ms),DTC(GFLOPS)
bcsstk18,11948,11948,149090,0.0010443788948628972,,0.20552,371.43
sinc15,11532,11532,568526,0.004275048669410032,,0.47401,614.09
lowThrust_5,16262,16262,198369,0.0007501116154467339,,0.30689,330.95
lowThrust_7,17378,17378,211561,0.0007005449800931065,,0.30894,350.61
conf5_4-8x8-15,49152,49152,1916928,0.00079345703125,,0.91453,1073.19
wing_nodal,10937,10937,150976,0.0012621515083574108,,0.22426,344.69
g7jac040sc,11790,11790,114671,0.000824946890055761,,0.19681,298.31
nopoly,10774,10774,70842,0.0006102908675806483,,0.20398,177.82
